"V1" "V2"
"1" -40.6339745962156 -72.3801085141084
"2" -41.1339745962156 -73.2461339178928
"3" -41.6339745962156 -74.1121593216773
"4" -42.1339745962156 -74.9781847254617
"5" -42.6339745962156 -75.8442101292462
"6" -43.1339745962156 -76.7102355330306
"7" -43.6339745962156 -77.576260936815
"8" -44.1339745962156 -78.4422863405995
"9" -38.2679491924311 -70.2820323027551
"10" -38.7679491924311 -71.1480577065395
"11" -39.2679491924311 -72.014083110324
"12" -39.7679491924311 -72.8801085141084
"13" -40.2679491924311 -73.7461339178928
"14" -40.7679491924311 -74.6121593216773
"15" -41.2679491924311 -75.4781847254617
"16" -41.7679491924311 -76.3442101292462
"17" -42.2679491924311 -77.2102355330306
"18" -42.7679491924311 -78.076260936815
"19" -43.2679491924311 -78.9422863405995
"20" -43.7679491924311 -79.8083117443839
"21" -44.2679491924311 -80.6743371481684
"22" -44.7679491924311 -81.5403625519528
"23" -35.9019237886467 -68.1839560914018
"24" -36.4019237886467 -69.0499814951862
"25" -36.9019237886467 -69.9160068989707
"26" -37.4019237886467 -70.7820323027551
"27" -37.9019237886467 -71.6480577065395
"28" -38.4019237886467 -72.514083110324
"29" -38.9019237886467 -73.3801085141084
"30" -39.4019237886467 -74.2461339178928
"31" -39.9019237886467 -75.1121593216773
"32" -40.4019237886467 -75.9781847254617
"33" -40.9019237886467 -76.8442101292462
"34" -41.4019237886467 -77.7102355330306
"35" -41.9019237886467 -78.576260936815
"36" -42.4019237886467 -79.4422863405995
"37" -42.9019237886467 -80.3083117443839
"38" -43.4019237886467 -81.1743371481684
"39" -43.9019237886467 -82.0403625519528
"40" -44.4019237886467 -82.9063879557372
"41" -44.9019237886467 -83.7724133595217
"42" -34.5358983848622 -67.8179306876173
"43" -35.0358983848622 -68.6839560914018
"44" -35.5358983848622 -69.5499814951862
"45" -36.0358983848622 -70.4160068989707
"46" -36.5358983848622 -71.2820323027551
"47" -37.0358983848622 -72.1480577065395
"48" -37.5358983848622 -73.014083110324
"49" -38.0358983848622 -73.8801085141084
"50" -38.5358983848622 -74.7461339178928
"51" -39.0358983848622 -75.6121593216773
"52" -39.5358983848622 -76.4781847254617
"53" -40.0358983848622 -77.3442101292462
"54" -40.5358983848622 -78.2102355330306
"55" -41.0358983848622 -79.076260936815
"56" -41.5358983848622 -79.9422863405995
"57" -42.0358983848622 -80.8083117443839
"58" -42.5358983848622 -81.6743371481684
"59" -43.0358983848622 -82.5403625519528
"60" -43.5358983848622 -83.4063879557372
"61" -44.0358983848622 -84.2724133595217
"62" -44.5358983848622 -85.1384387633061
"63" -45.0358983848622 -86.0044641670906
"64" -33.1698729810778 -67.4519052838329
"65" -33.6698729810778 -68.3179306876173
"66" -34.1698729810778 -69.1839560914018
"67" -34.6698729810778 -70.0499814951862
"68" -35.1698729810778 -70.9160068989707
"69" -35.6698729810778 -71.7820323027551
"70" -36.1698729810778 -72.6480577065395
"71" -36.6698729810778 -73.514083110324
"72" -37.1698729810778 -74.3801085141084
"73" -37.6698729810778 -75.2461339178928
"74" -38.1698729810778 -76.1121593216773
"75" -38.6698729810778 -76.9781847254617
"76" -39.1698729810778 -77.8442101292462
"77" -39.6698729810778 -78.7102355330306
"78" -40.1698729810778 -79.576260936815
"79" -40.6698729810778 -80.4422863405995
"80" -41.1698729810778 -81.3083117443839
"81" -41.6698729810778 -82.1743371481684
"82" -42.1698729810778 -83.0403625519528
"83" -42.6698729810778 -83.9063879557372
"84" -43.1698729810778 -84.7724133595217
"85" -43.6698729810778 -85.6384387633061
"86" -44.1698729810778 -86.5044641670906
"87" -44.6698729810778 -87.370489570875
"88" -31.3038475772934 -66.219854476264
"89" -31.8038475772934 -67.0858798800485
"90" -32.3038475772934 -67.9519052838329
"91" -32.8038475772934 -68.8179306876173
"92" -33.3038475772934 -69.6839560914018
"93" -33.8038475772934 -70.5499814951862
"94" -34.3038475772934 -71.4160068989707
"95" -34.8038475772934 -72.2820323027551
"96" -35.3038475772934 -73.1480577065395
"97" -35.8038475772934 -74.014083110324
"98" -36.3038475772934 -74.8801085141084
"99" -36.8038475772934 -75.7461339178928
"100" -37.3038475772934 -76.6121593216773
"101" -37.8038475772934 -77.4781847254617
"102" -38.3038475772934 -78.3442101292462
"103" -38.8038475772934 -79.2102355330306
"104" -39.3038475772934 -80.076260936815
"105" -39.8038475772934 -80.9422863405995
"106" -40.3038475772934 -81.8083117443839
"107" -40.8038475772934 -82.6743371481684
"108" -41.3038475772934 -83.5403625519528
"109" -41.8038475772934 -84.4063879557372
"110" -42.3038475772934 -85.2724133595217
"111" -42.8038475772934 -86.1384387633061
"112" -43.3038475772934 -87.0044641670906
"113" -43.8038475772934 -87.870489570875
"114" -44.3038475772934 -88.7365149746594
"115" -29.9378221735089 -65.8538290724796
"116" -30.4378221735089 -66.719854476264
"117" -30.9378221735089 -67.5858798800485
"118" -31.4378221735089 -68.4519052838329
"119" -31.9378221735089 -69.3179306876173
"120" -32.4378221735089 -70.1839560914018
"121" -32.9378221735089 -71.0499814951862
"122" -33.4378221735089 -71.9160068989707
"123" -33.9378221735089 -72.7820323027551
"124" -34.4378221735089 -73.6480577065395
"125" -34.9378221735089 -74.514083110324
"126" -35.4378221735089 -75.3801085141084
"127" -35.9378221735089 -76.2461339178928
"128" -36.4378221735089 -77.1121593216773
