"","x1","x2","x3","e","y"
"1",500,TRUE,1,-0.213545080644457,5.1
"2",499,TRUE,3,-0.916814247520244,11.1
"3",498,FALSE,0,1.89712542314243,2
"4",497,FALSE,1,-1.98363561852948,4
"5",496,FALSE,1,-0.327003685502407,4
"6",495,FALSE,2,0.235686765850192,6
"7",494,FALSE,6,-1.31345693593661,14
"8",493,TRUE,0,-1.25685767784672,2.1
"9",492,TRUE,2,-0.440573630836063,8.1
"10",491,FALSE,0,-2.02735974950662,2
"11",490,FALSE,1,-1.07579675709667,4
"12",489,FALSE,0,-2.95034011509523,2
"13",488,TRUE,0,0.0992426199876728,2.1
"14",487,TRUE,0,0.532062560651301,2.1
"15",486,FALSE,1,1.98946933068967,4
"16",485,TRUE,0,0.378035638703249,2.1
"17",484,FALSE,2,-0.0573269689732447,6
"18",483,FALSE,1,0.307777215419369,4
"19",482,FALSE,1,1.39437518843732,4
"20",481,TRUE,3,0.141671743545689,11.1
"21",480,FALSE,1,-0.169993665601734,4
"22",479,FALSE,1,-0.711571548377126,4
"23",478,FALSE,3,0.457823279206284,8
"24",477,FALSE,1,0.0102915266667346,4
"25",476,TRUE,0,0.738119365345269,2.1
"26",475,FALSE,1,0.669955897947925,4
"27",474,TRUE,0,1.54960812884354,2.1
"28",473,FALSE,0,1.28108191688752,2
"29",472,FALSE,0,-0.668778542152005,2
"30",471,TRUE,0,-0.53798805316787,2.1
"31",470,FALSE,2,-0.171440184911532,6
"32",469,FALSE,5,-0.187579946697143,12
"33",468,TRUE,1,-0.440382181448365,5.1
"34",467,TRUE,1,-0.41339431424955,5.1
"35",466,FALSE,0,0.500194299799769,2
"36",465,FALSE,1,-0.190733191051558,4
"37",464,TRUE,1,-0.131721862325987,5.1
"38",463,TRUE,3,0.41311484206068,11.1
"39",462,TRUE,1,0.016536624647211,5.1
"40",461,TRUE,0,0.82831697776774,2.1
"41",460,TRUE,0,0.0159677484482973,2.1
"42",459,FALSE,1,0.344029490877522,4
"43",458,FALSE,1,0.101661068985689,4
"44",457,FALSE,1,1.25183772274499,4
"45",456,FALSE,0,0.944065508805482,2
"46",455,FALSE,2,-0.285640703739369,6
"47",454,FALSE,3,-0.699254582159026,8
